"uSeed","l2.dist","Model","N","phi","T","sim.Seed","Rep","sim.Path","sim.File","iter","thin","fit.Path","fit.File"
383308,"Gaussian","DAR",100,0.4,100,0,38,"self-sim_dar","sim_uSeed-383308_l2.dist-Gaussian_Model-DAR_N-100_phi-0.4_T-100_sim.Seed-0_Rep-38.rds",2000,5,"self-sim_dar","fit_uSeed-383308_iter-2000_thin-5_Rep-38.rds"
383315,"Chi2","DAR",100,0.4,100,0,38,"self-sim_dar","sim_uSeed-383315_l2.dist-Chi2_Model-DAR_N-100_phi-0.4_T-100_sim.Seed-0_Rep-38.rds",2000,5,"self-sim_dar","fit_uSeed-383315_iter-2000_thin-5_Rep-38.rds"
393308,"Gaussian","DAR",100,0.4,100,0,39,"self-sim_dar","sim_uSeed-393308_l2.dist-Gaussian_Model-DAR_N-100_phi-0.4_T-100_sim.Seed-0_Rep-39.rds",2000,5,"self-sim_dar","fit_uSeed-393308_iter-2000_thin-5_Rep-39.rds"
393315,"Chi2","DAR",100,0.4,100,0,39,"self-sim_dar","sim_uSeed-393315_l2.dist-Chi2_Model-DAR_N-100_phi-0.4_T-100_sim.Seed-0_Rep-39.rds",2000,5,"self-sim_dar","fit_uSeed-393315_iter-2000_thin-5_Rep-39.rds"
403308,"Gaussian","DAR",100,0.4,100,0,40,"self-sim_dar","sim_uSeed-403308_l2.dist-Gaussian_Model-DAR_N-100_phi-0.4_T-100_sim.Seed-0_Rep-40.rds",2000,5,"self-sim_dar","fit_uSeed-403308_iter-2000_thin-5_Rep-40.rds"
403315,"Chi2","DAR",100,0.4,100,0,40,"self-sim_dar","sim_uSeed-403315_l2.dist-Chi2_Model-DAR_N-100_phi-0.4_T-100_sim.Seed-0_Rep-40.rds",2000,5,"self-sim_dar","fit_uSeed-403315_iter-2000_thin-5_Rep-40.rds"
413308,"Gaussian","DAR",100,0.4,100,0,41,"self-sim_dar","sim_uSeed-413308_l2.dist-Gaussian_Model-DAR_N-100_phi-0.4_T-100_sim.Seed-0_Rep-41.rds",2000,5,"self-sim_dar","fit_uSeed-413308_iter-2000_thin-5_Rep-41.rds"
413315,"Chi2","DAR",100,0.4,100,0,41,"self-sim_dar","sim_uSeed-413315_l2.dist-Chi2_Model-DAR_N-100_phi-0.4_T-100_sim.Seed-0_Rep-41.rds",2000,5,"self-sim_dar","fit_uSeed-413315_iter-2000_thin-5_Rep-41.rds"
423308,"Gaussian","DAR",100,0.4,100,0,42,"self-sim_dar","sim_uSeed-423308_l2.dist-Gaussian_Model-DAR_N-100_phi-0.4_T-100_sim.Seed-0_Rep-42.rds",2000,5,"self-sim_dar","fit_uSeed-423308_iter-2000_thin-5_Rep-42.rds"
423315,"Chi2","DAR",100,0.4,100,0,42,"self-sim_dar","sim_uSeed-423315_l2.dist-Chi2_Model-DAR_N-100_phi-0.4_T-100_sim.Seed-0_Rep-42.rds",2000,5,"self-sim_dar","fit_uSeed-423315_iter-2000_thin-5_Rep-42.rds"
433308,"Gaussian","DAR",100,0.4,100,0,43,"self-sim_dar","sim_uSeed-433308_l2.dist-Gaussian_Model-DAR_N-100_phi-0.4_T-100_sim.Seed-0_Rep-43.rds",2000,5,"self-sim_dar","fit_uSeed-433308_iter-2000_thin-5_Rep-43.rds"
433315,"Chi2","DAR",100,0.4,100,0,43,"self-sim_dar","sim_uSeed-433315_l2.dist-Chi2_Model-DAR_N-100_phi-0.4_T-100_sim.Seed-0_Rep-43.rds",2000,5,"self-sim_dar","fit_uSeed-433315_iter-2000_thin-5_Rep-43.rds"
443308,"Gaussian","DAR",100,0.4,100,0,44,"self-sim_dar","sim_uSeed-443308_l2.dist-Gaussian_Model-DAR_N-100_phi-0.4_T-100_sim.Seed-0_Rep-44.rds",2000,5,"self-sim_dar","fit_uSeed-443308_iter-2000_thin-5_Rep-44.rds"
443315,"Chi2","DAR",100,0.4,100,0,44,"self-sim_dar","sim_uSeed-443315_l2.dist-Chi2_Model-DAR_N-100_phi-0.4_T-100_sim.Seed-0_Rep-44.rds",2000,5,"self-sim_dar","fit_uSeed-443315_iter-2000_thin-5_Rep-44.rds"
453308,"Gaussian","DAR",100,0.4,100,0,45,"self-sim_dar","sim_uSeed-453308_l2.dist-Gaussian_Model-DAR_N-100_phi-0.4_T-100_sim.Seed-0_Rep-45.rds",2000,5,"self-sim_dar","fit_uSeed-453308_iter-2000_thin-5_Rep-45.rds"
453315,"Chi2","DAR",100,0.4,100,0,45,"self-sim_dar","sim_uSeed-453315_l2.dist-Chi2_Model-DAR_N-100_phi-0.4_T-100_sim.Seed-0_Rep-45.rds",2000,5,"self-sim_dar","fit_uSeed-453315_iter-2000_thin-5_Rep-45.rds"
463308,"Gaussian","DAR",100,0.4,100,0,46,"self-sim_dar","sim_uSeed-463308_l2.dist-Gaussian_Model-DAR_N-100_phi-0.4_T-100_sim.Seed-0_Rep-46.rds",2000,5,"self-sim_dar","fit_uSeed-463308_iter-2000_thin-5_Rep-46.rds"
463315,"Chi2","DAR",100,0.4,100,0,46,"self-sim_dar","sim_uSeed-463315_l2.dist-Chi2_Model-DAR_N-100_phi-0.4_T-100_sim.Seed-0_Rep-46.rds",2000,5,"self-sim_dar","fit_uSeed-463315_iter-2000_thin-5_Rep-46.rds"
473308,"Gaussian","DAR",100,0.4,100,0,47,"self-sim_dar","sim_uSeed-473308_l2.dist-Gaussian_Model-DAR_N-100_phi-0.4_T-100_sim.Seed-0_Rep-47.rds",2000,5,"self-sim_dar","fit_uSeed-473308_iter-2000_thin-5_Rep-47.rds"
473315,"Chi2","DAR",100,0.4,100,0,47,"self-sim_dar","sim_uSeed-473315_l2.dist-Chi2_Model-DAR_N-100_phi-0.4_T-100_sim.Seed-0_Rep-47.rds",2000,5,"self-sim_dar","fit_uSeed-473315_iter-2000_thin-5_Rep-47.rds"
